c1 c2 c3 c4 c5 c6 c7 c8
512 0 0 0 0 0 0 297 
504 0 0 0 0 0 0 289 
506 0 0 0 0 0 0 299 
507 0 0 0 0 0 0 280 
499 0 0 0 0 0 0 305 
538 0 0 0 0 0 0 294 
518 0 0 0 0 0 0 304 
533 0 0 0 0 0 0 352 
538 0 0 0 0 0 0 292 
491 0 0 0 0 0 0 332 
514 0 0 0 0 0 0 339 
510 0 0 0 0 0 0 321 
532 0 0 0 0 0 0 317 
475 0 0 0 0 0 0 318 
494 0 0 0 0 0 0 326 
505 0 0 0 0 0 0 342 
507 0 0 0 0 0 0 319 
537 0 0 0 0 0 0 341 
517 0 0 0 0 0 0 316 
487 0 0 0 0 0 0 342 
493 0 0 0 0 0 0 318 
482 0 0 0 0 0 0 320 
525 0 0 0 0 0 0 333 
527 0 0 0 0 0 0 336 
503 0 0 0 0 0 0 289 
532 0 0 0 0 0 0 311 
528 0 0 0 0 0 0 309 
508 0 0 0 0 0 0 303 
519 0 0 0 0 0 0 306 
497 0 0 0 0 0 0 301 
541 0 0 0 0 0 0 292 
495 0 0 0 0 0 0 282 
529 0 0 0 0 0 0 296 
528 0 0 0 0 0 0 278 
529 0 0 0 0 0 0 298 
528 0 0 0 0 0 0 311 
514 0 0 0 0 0 0 288 
510 0 0 0 0 0 0 311 
548 0 0 0 0 0 0 264 
522 0 0 0 0 0 0 302 
510 0 0 0 0 0 0 264 
507 0 0 0 0 0 0 219 
500 0 0 0 0 0 0 232 
508 0 0 0 0 0 0 231 
508 0 0 0 0 0 0 229 
526 0 0 0 0 0 0 226 
542 0 0 0 0 0 0 237 
559 0 0 0 0 0 0 242 
490 0 0 0 0 0 0 231 
490 0 0 0 0 0 0 240 
498 0 0 0 0 0 0 255 
548 0 0 0 0 0 0 260 
535 0 0 0 0 0 0 317 
538 0 0 0 0 0 0 291 
491 0 0 0 0 0 0 304 
514 0 0 0 0 0 0 297 
503 0 0 0 0 0 0 277 
502 0 0 0 0 0 0 311 
504 0 0 0 0 0 0 301 
528 0 0 0 0 0 0 281 
540 0 0 0 0 0 0 296 
539 0 0 0 0 0 0 302 
533 0 0 0 0 0 0 300 
493 0 0 0 0 0 0 271 
495 0 0 0 0 0 0 311 
478 0 0 0 0 0 0 331 
525 0 0 0 0 0 0 335 
485 0 0 0 0 0 0 330 
505 0 0 0 0 0 0 294 
480 0 0 0 0 0 0 319 
515 0 0 0 0 0 0 322 
501 0 0 0 0 0 0 320 
530 0 0 0 0 0 0 315 
509 0 0 0 0 0 0 334 
527 0 0 0 0 0 0 323 
526 0 0 0 0 0 0 316 
505 0 0 0 0 0 0 309 
516 0 0 0 0 0 0 273 
545 0 0 0 0 0 0 286 
550 0 0 0 0 0 0 274 
502 0 0 0 0 0 0 295 
526 0 0 0 0 0 0 290 
497 0 0 0 0 0 0 307 
520 0 0 0 0 0 0 286 
499 0 0 0 0 0 0 298 
540 0 0 0 0 0 0 304 
484 0 0 0 0 0 0 314 
517 0 0 0 0 0 0 289 
522 0 0 0 0 0 0 326 
533 0 0 0 0 0 0 304 
518 0 0 0 0 0 0 287 
506 0 0 0 0 0 0 301 
460 0 0 0 0 0 0 285 
482 0 0 0 0 0 0 283 
503 0 0 0 0 0 0 298 
521 0 0 0 0 0 0 295 
494 0 0 0 0 0 0 307 
514 0 0 0 0 0 0 322 
506 0 0 0 0 0 0 268 
480 0 0 0 0 0 0 290 
465 0 0 0 0 0 0 282 
508 0 0 0 0 0 0 264 
492 0 0 0 0 0 0 264 
479 0 0 0 0 0 0 290 
454 0 0 0 0 0 0 317 
483 0 0 0 0 0 0 308 
444 0 0 0 0 0 0 314 
456 0 0 0 0 0 0 273 
480 0 0 0 0 0 0 313 
445 0 0 0 0 0 0 271 
485 0 0 0 0 0 0 298 
493 0 0 0 0 0 0 300 
456 0 0 0 0 0 0 300 
450 0 0 0 0 0 0 290 
443 0 0 0 0 0 0 322 
467 0 0 0 0 0 0 307 
516 0 0 0 0 0 0 286 
487 0 0 0 0 0 0 293 
528 0 0 0 0 0 0 299 
495 0 0 0 0 0 0 300 
500 0 0 0 0 0 0 269 
499 0 0 0 0 0 0 270 
512 0 0 0 0 0 0 303 
531 0 0 0 0 0 0 297 
518 0 0 0 0 0 0 285 
494 0 0 0 0 0 0 282 
529 0 0 0 0 0 0 290 
507 0 0 0 0 0 0 318 
555 0 0 0 0 0 0 291 
512 0 0 0 0 0 0 321 
505 0 0 0 0 0 0 300 
501 0 0 0 0 0 0 304 
461 0 0 0 0 0 0 312 
513 0 0 0 0 0 0 309 
475 0 0 0 0 0 0 290 
519 0 0 0 0 0 0 303 
517 0 0 0 0 0 0 294 
494 0 0 0 0 0 0 314 
535 0 0 0 0 0 0 307 
519 0 0 0 0 0 0 290 
524 0 0 0 0 0 0 296 
518 0 0 0 0 0 0 309 
533 0 0 0 0 0 0 301 
559 0 0 0 0 0 0 321 
512 0 0 0 0 0 0 290 
529 0 0 0 0 0 0 321 
543 0 0 0 0 0 0 320 
552 0 0 0 0 0 0 312 
523 0 0 0 0 0 0 297 
515 0 0 0 0 0 0 308 
523 0 0 0 0 0 0 315 
514 0 0 0 0 0 0 290 
484 0 0 0 0 0 0 313 
498 0 0 0 0 0 0 309 
465 0 0 0 0 0 0 297 
486 0 0 0 0 0 0 303 
498 0 0 0 0 0 0 321 
440 0 0 0 0 0 0 322 
491 0 0 0 0 0 0 321 
465 0 0 0 0 0 0 325 
488 0 0 0 0 0 0 331 
462 0 0 0 0 0 0 301 
478 0 0 0 0 0 0 314 
505 0 0 0 0 0 0 351 
506 0 0 0 0 0 0 322 
519 0 0 0 0 0 0 333 
520 0 0 0 0 0 0 314 
507 0 0 0 0 0 0 317 
540 0 0 0 0 0 0 304 
535 0 0 0 0 0 0 305 
528 0 0 0 0 0 0 318 
473 0 0 0 0 0 0 303 
512 0 0 0 0 0 0 293 
528 0 0 0 0 0 0 283 
522 0 0 0 0 0 0 282 
518 0 0 0 0 0 0 321 
546 0 0 0 0 0 0 300 
543 0 0 0 0 0 0 303 
491 0 0 0 0 0 0 289 
547 0 0 0 0 0 0 306 
